税金及附加类型,2025年度,2024年度,2023年度
,占营收比重,占营收比重,占营收比重
房产税,6.28%,5.64%,5.71%
印花税,0.16%,0.00%,0.01%
土地使用税,0.06%,0.05%,0.05%
