项目,2025年度,2024年度,2023年度
总资产,10.02,10.36,10.83
总负债,5.25,5.56,6.01
资产负债率,52.40%,53.61%,55.47%
营业收入,1.32,1.43,1.40
净利润,-0.04,-0.02,-0.05
经营活动产生现金流量净额,0.72,0.90,0.84
息税折旧摊销前利润（EBITDA）,0.67,0.75,0.75
