收入类型,2025年度,,2024年度,,2023年度,
,金额,占比,金额,占比,金额,占比
酒店客房收入,"3,035.38",91.60%,"2,904.89",90.10%,"2,788.74",90.29%
酒店餐饮收入,208.70,6.30%,172.92,5.36%,153.05,4.96%
出租收入,40.29,1.22%,110.79,3.44%,112.09,3.63%
物业费收入,3.96,0.12%,2.10,0.07%,2.18,0.07%
其他收入,25.49,0.77%,33.23,1.03%,32.52,1.05%
合计,"3,313.82",100.00%,"3,223.93",100.00%,"3,088.58",100.00%
