项目,2025年度,2024年度,2023年度
经营毛利润（GOP）,0.88,0.95,0.92
经营毛利率（GOP Margin）,66.67%,66.43%,65.71%
运营净收益（NOI）,0.72,0.79,0.78
运营净收益率（NOI Margin）,54.55%,55.24%,55.71%
