项目经营指标,2025年度,2024年度,2023年度
平均房价（ADR）,359.71,372.82,369.61
平均入住率（OCC）,90.36%,83.07%,80.82%
平均入住率（OCC）占比变动,7.29%,2.25%,-
每间可售房收入（RevPAR）,325.04,309.71,298.71
每间可售房收入（RevPAR）年增长率,4.95%,3.68%,-
