项目,2025年度,2024年度,2023年度
"一、经营活动产生的现金流
量：",,,
"销售商品、提供劳务收到的
现金","14,132.54","16,403.89","14,263.04"
"收到其他与经营活动有关的
现金",23.24,596.88,712.08
经营活动现金流入小计,"14,155.78","17,000.77","14,975.12"
"购买商品、接受劳务支付的
现金","5,312.20","6,434.94","4,993.00"
支付的各项税费,856.24,854.87,"1,094.32"
"支付其他与经营活动有关的
现金",781.33,684.82,518.60
经营活动现金流出小计,"6,949.77","7,974.62","6,605.93"
经营活动产生的现金流量净,"7,206.01","9,026.15","8,369.19"
