项目,2025年度,2024年度,2023年度
总资产,3.01,3.10,3.17
总负债,1.34,1.44,1.53
资产负债率,44.36%,46.56%,48.27%
营业收入,0.33,0.32,0.31
净利润,0.02,0.02,0.00
经营活动产生现金流量净额,0.13,0.15,0.42
息税折旧摊销前利润（EBITDA）,0.14,0.14,0.14
