项目,2025年度,2024年度,2023年度
经营毛利润（GOP）,0.20,0.19,0.18
经营毛利率（GOP Margin）,60.61%,59.38%,58.06%
运营净收益（NOI）,0.16,0.15,0.14
运营净收益率（NOI Margin）,48.48%,46.88%,45.16%
