项目,2025年度,2024年度,2023年度
购买商品、接受劳务支付的现金,"5,312.20","6,434.94","4,993.00"
支付的各项税费,856.24,854.87,"1,094.32"
支付其他与经营活动有关的现金,781.33,684.82,518.60
经营活动现金流出小计,"6,949.77","7,974.62","6,605.93"
经营活动产生的现金流量净额,"7,206.01","9,026.15","8,369.19"
二、投资活动产生的现金流量：,,,
收回投资收到的现金,"17,846.12",-,-
投资活动现金流入小计,"17,846.12",-,-
"购建固定资产、无形资产和其他长期
资产所支付的现金",311.91,507.75,123.78
投资支付的现金,"24,040.00",-,-
投资活动现金流出小计,"24,351.91",507.75,123.78
投资活动使用的现金流量净额,"-6,505.79",-507.75,-123.78
三、筹资活动产生的现金流量：,,,
偿还债务支付的现金,"3,043.08","4,439.34","1,180.64"
"分配股利、利润或偿付利息支付的现
金","1,712.57","2,129.38","2,592.14"
筹资活动现金流出小计,"4,755.65","6,568.72","3,772.78"
筹资活动产生的现金流量净额,"-4,755.65","-6,568.72","-3,772.78"
"四、现金及现金等价物净（减少）/增
加额","-4,055.43","1,949.68","4,472.63"
加：年初现金及现金等价物余额,"7,137.94","5,188.26",715.63
五、年末现金及现金等价物余额,"3,082.51","7,137.94","5,188.26"
