项目,2025年度,2024年度,2023年度
营业收入,"3,313.82","3,223.93","3,088.58"
营业成本,"2,124.89","2,137.79","2,070.43"
毛利润,"1,188.93","1,086.14","1,018.14"
毛利率,35.88%,33.69%,32.96%
