项目经营指标,2025年度,2024年度,2023年度
平均房价（ADR）,443.91,471.71,485.27
平均入住率（OCC）,94.96%,97.54%,91.00%
平均入住率（OCC）占比变动,-2.58%,6.54%,-
每间可售房收入（RevPAR）,421.52,460.10,441.59
"每间可售房收入（RevPAR）
年增长率",-8.39%,4.19%,-
