项目,2025年度,2024年度,2023年度
营业收入,"3,313.82","3,223.93","3,088.58"
减：营业成本,"2,124.89","2,137.79","2,070.43"
税金及附加,246.88,247.32,186.19
销售费用,109.76,72.81,114.82
管理费用,230.76,206.72,139.49
财务费用,356.48,403.58,617.98
