项目,2025年度,2024年度,2023年度
应收账款,273.19,239.51,298.30
预付款项,4.38,5.18,12.53
其他应收款,5.43,5.74,14.48
存货,9.09,11.30,25.92
其他流动资产,-,10.62,62.40
流动资产合计,"3,974.29","4,138.61","4,054.18"
非流动资产,,,
固定资产,"25,957.04","26,755.86","27,553.77"
长期待摊费用,43.54,41.25,46.97
其他非流动资产,127.65,51.65,51.65
非流动资产合计,"26,128.23","26,848.76","27,652.39"
资产总计,"30,102.52","30,987.37","31,706.57"
流动负债,,,
应付账款,125.55,140.94,199.24
预收款项,-,-,34.03
合同负债,-,0.19,1.86
应交税费,84.40,75.86,61.94
其他应付款,97.61,72.69,61.06
一年内到期的非流动负债,"1,210.35","1,103.31",813.68
流动负债合计,"1,517.91","1,392.99","1,171.82"
非流动负债,,,
长期借款,"11,834.17","13,034.17","14,134.17"
非流动负债合计,"11,834.17","13,034.17","14,134.17"
负债合计,"13,352.09","14,427.17","15,305.99"
所有者权益,,,
实收资本,"16,584.44","16,584.44","16,584.44"
盈余公积,16.60,-,-
未分配利润（/ 未弥补亏损）,149.39,-24.24,-183.86
所有者权益合计,"16,750.43","16,560.20","16,400.58"
负债和所有者权益总计,"30,102.52","30,987.37","31,706.57"
