科目,2023,2024,2025,3年平均,2026预测
营业收入,13968.89,14254.0,13187.36,13803.42,14035.15
营业成本,9901.86,10427.29,9105.43,9811.53,9100.0
税金及附加,856.24,833.48,856.42,848.71,1103.86
管理费用,718.42,551.02,449.11,572.85,450.0
财务费用,2575.98,2061.74,1662.82,2100.18,0.0
折旧费用,5347.0,5567.0,5421.06,5445.02,5300.0
运营成本(不含折旧),4554.86,4860.29,3684.37,4366.51,3800.0
GOP,8557.79,8960.23,8646.57,8721.53,9482.29
净利润,-464.94,-151.52,-370.05,-328.84,200.0
经营现金流(NOI/CF),7206.01,9026.15,6605.93,7612.7,8107.6
